geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
hsa04610	Complement and coagulation cascades	http://www.kegg.jp/kegg-bin/show_pathway?hsa04610+5265+462+733+4153+5104+2155+5055+10747+5624+3053+5627+710+5340+5345+731+3827+720+3426+629+2158+3818+7450+1191+2+1361+2161+718+714+1675+713+2153+2147+730+3075+717+715+732+729+716+7448+7035+5270	0.7232614983201471	2.5466130174218446	0	0	57	./Project_wg_result1733328043_GSEA/hsa04610.png	42	5265;462;733;4153;5104;2155;5055;10747;5624;3053;5627;710;5340;5345;731;3827;720;3426;629;2158;3818;7450;1191;2;1361;2161;718;714;1675;713;2153;2147;730;3075;717;715;732;729;716;7448;7035;5270	A2M;C1QB;C1QC;C1R;C1S;C2;C3;C4A;C6;C7;C8A;C8B;C8G;CFB;CFD;CFH;CFI;CLU;CPB2;F12;F2;F5;F7;F9;KLKB1;KNG1;MASP2;MBL2;PLG;PROC;PROS1;SERPINA1;SERPINA5;SERPINB2;SERPINC1;SERPIND1;SERPINE2;SERPINF2;SERPING1;TFPI;VTN;VWF
hsa03040	Spliceosome	http://www.kegg.jp/kegg-bin/show_pathway?hsa03040+10713+6428+10262+11157+10285+51691+51639+4670+220988+9343+6426+11338+10523+10915+24148+51729+3178+5093+27339+3190+23451+6632+84991+57819+58517+10992+9128+6633+10084+153527+9879+9410+23450+84950+22938+22916+23020+4686+56259+9092+10286+1655+1665+3192+11325+10594+56949+6432+988+29896+7307+11017+10291+55696+26121+9416+51503+9984+6430+84844+4809+6627+10189+3183+10772+55660+6429+8683+22985+6628+9775+6434+7919+9129+51362+8896+6625+6427+8175+3310	-0.6939834414507162	-2.8894232558101027	0	0	106	./Project_wg_result1733328043_GSEA/hsa03040.png	80	10713;6428;10262;11157;10285;51691;51639;4670;220988;9343;6426;11338;10523;10915;24148;51729;3178;5093;27339;3190;23451;6632;84991;57819;58517;10992;9128;6633;10084;153527;9879;9410;23450;84950;22938;22916;23020;4686;56259;9092;10286;1655;1665;3192;11325;10594;56949;6432;988;29896;7307;11017;10291;55696;26121;9416;51503;9984;6430;84844;4809;6627;10189;3183;10772;55660;6429;8683;22985;6628;9775;6434;7919;9129;51362;8896;6625;6427;8175;3310	ACIN1;ALYREF;BCAS2;BUD31;CDC40;CDC5L;CHERP;CTNNBL1;CWC15;DDX23;DDX39B;DDX42;DDX46;DDX5;DHX15;EFTUD2;EIF4A3;HNRNPA1;HNRNPA3;HNRNPC;HNRNPK;HNRNPM;HNRNPU;HSPA6;LSM2;LSM6;LSM8;NCBP1;NCBP2;PCBP1;PHF5A;PQBP1;PRPF19;PRPF3;PRPF31;PRPF38A;PRPF4;PRPF40A;PRPF6;PRPF8;RBM17;RBM22;RBM25;SART1;SF3A1;SF3A2;SF3B1;SF3B2;SF3B3;SF3B4;SF3B6;SMNDC1;SNRNP200;SNRNP27;SNRNP40;SNRNP70;SNRPA1;SNRPB;SNRPD1;SNRPD2;SNU13;SNW1;SRSF1;SRSF10;SRSF2;SRSF3;SRSF4;SRSF5;SRSF7;SRSF9;TCERG1;THOC1;TRA2A;TRA2B;U2AF1;U2AF2;USP39;WBP11;XAB2;ZMAT2
hsa04146	Peroxisome	http://www.kegg.jp/kegg-bin/show_pathway?hsa04146+6648+8310+8540+10005+215+51268+3295+8528+5192+8443+92960+8800+8799+5195+1962+54363+11264+5825+26063+373156+8309+5190+51+26061+5828+6342+55825+1610+570+189+10478+30+54677+5824+8504	0.5880962856625992	2.2132443066115126	0	3.897698755939986e-4	73	./Project_wg_result1733328043_GSEA/hsa04146.png	35	6648;8310;8540;10005;215;51268;3295;8528;5192;8443;92960;8800;8799;5195;1962;54363;11264;5825;26063;373156;8309;5190;51;26061;5828;6342;55825;1610;570;189;10478;30;54677;5824;8504	ABCD1;ABCD3;ACAA1;ACOT8;ACOX1;ACOX2;ACOX3;AGPS;AGXT;BAAT;CROT;DAO;DDO;DECR2;EHHADH;GNPAT;GSTK1;HACL1;HAO1;HSD17B4;PECR;PEX10;PEX11A;PEX11B;PEX11G;PEX14;PEX19;PEX2;PEX3;PEX6;PIPOX;PXMP4;SCP2;SLC25A17;SOD2
hsa03015	mRNA surveillance pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa03015+2733+5501+10284+8731+80335+5519+22916+4686+11051+10914+26528+23435+81608+55339+10189+5411+51585+22985+1478+51692+9775+8106+7919+79869+10250	-0.5746120859685335	-2.163815761865018	0	0.004478369778620269	58	./Project_wg_result1733328043_GSEA/hsa03015.png	25	2733;5501;10284;8731;80335;5519;22916;4686;11051;10914;26528;23435;81608;55339;10189;5411;51585;22985;1478;51692;9775;8106;7919;79869;10250	ACIN1;ALYREF;CPSF3;CPSF7;CSTF2;DAZAP1;DDX39B;EIF4A3;FIP1L1;GLE1;NCBP1;NCBP2;NUDT21;PABPN1;PAPOLA;PCF11;PNN;PPP1CC;PPP2R1B;RNMT;SAP18;SRRM1;TARDBP;WDR33;WDR82
hsa05323	Rheumatoid arthritis	http://www.kegg.jp/kegg-bin/show_pathway?hsa05323+3108+3119	-0.6538467880788514	-1.9732723151769584	0	0.033694401191523934	23	./Project_wg_result1733328043_GSEA/hsa05323.png	2	3108;3119	HLA-DMA;HLA-DQB1
hsa04141	Protein processing in endoplasmic reticulum	http://www.kegg.jp/kegg-bin/show_pathway?hsa04141+81567+3998+55829+30001+55741+5034+56605+64374+3309+10130+2923+5589+811+23193+5611+54431+824+27248+10961+1410+55768+6400+10970+258010+56886+10525+581+79139+51726+9601+821+23190+468+10277+10484+10960+64215+10113+7184+6748	0.47706900914428163	1.8855555711591072	0	0.03455959563600121	116	./Project_wg_result1733328043_GSEA/hsa04141.png	40	81567;3998;55829;30001;55741;5034;56605;64374;3309;10130;2923;5589;811;23193;5611;54431;824;27248;10961;1410;55768;6400;10970;258010;56886;10525;581;79139;51726;9601;821;23190;468;10277;10484;10960;64215;10113;7184;6748	ATF4;BAX;CALR;CANX;CAPN2;CKAP4;CRYAB;DERL1;DNAJB11;DNAJC1;DNAJC10;DNAJC3;EDEM2;ERLEC1;ERO1A;ERO1B;ERP29;GANAB;HSP90B1;HSPA5;HYOU1;LMAN1;LMAN2;NGLY1;P4HB;PDIA3;PDIA4;PDIA6;PREB;PRKCSH;SEC23A;SEL1L;SELENOS;SIL1;SSR4;SVIP;TXNDC5;UBE4B;UBXN4;UGGT1
hsa04142	Lysosome	http://www.kegg.jp/kegg-bin/show_pathway?hsa04142+23659+285362+1176+2760+4126+4758+10577+2519+1520+1509+5538+427+4668+3073+2717+2799+3425+5660+6448+410+8722+3074+2581+1075+4864+1200+1508+6272+6609+175+5476+2720+3423+3920+1203+3916	0.5043786313483669	1.8649760504885755	0	0.035274173741256874	79	./Project_wg_result1733328043_GSEA/hsa04142.png	36	23659;285362;1176;2760;4126;4758;10577;2519;1520;1509;5538;427;4668;3073;2717;2799;3425;5660;6448;410;8722;3074;2581;1075;4864;1200;1508;6272;6609;175;5476;2720;3423;3920;1203;3916	AGA;AP3S1;ARSA;ASAH1;CLN5;CTSA;CTSB;CTSC;CTSD;CTSF;CTSS;FUCA2;GALC;GLA;GLB1;GM2A;GNS;HEXA;HEXB;IDS;IDUA;LAMP1;LAMP2;MANBA;NAGA;NEU1;NPC1;NPC2;PLA2G15;PPT1;PSAP;SGSH;SMPD1;SORT1;SUMF1;TPP1
hsa04657	IL-17 signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04657+338324+6278+3934+6279+6280	0.5983552202409006	1.836118949965806	0.0018281535648994515	0.037262000106786264	27	./Project_wg_result1733328043_GSEA/hsa04657.png	5	338324;6278;3934;6279;6280	LCN2;S100A7;S100A7A;S100A8;S100A9
hsa00600	Sphingolipid metabolism	http://www.kegg.jp/kegg-bin/show_pathway?hsa00600+9517+2760+4758+29956+4759+427+3073+2717+5660+10558+410+3074+2581+6609+2720+57704+2629+8879	0.5862966639438071	1.7869156416384402	0	0.049111004324843825	26	./Project_wg_result1733328043_GSEA/hsa00600.png	18	9517;2760;4758;29956;4759;427;3073;2717;5660;10558;410;3074;2581;6609;2720;57704;2629;8879	ARSA;ASAH1;CERS2;GALC;GBA1;GBA2;GLA;GLB1;GM2A;HEXA;HEXB;NEU1;NEU2;PSAP;SGPL1;SMPD1;SPTLC1;SPTLC2
hsa04060	Cytokine-cytokine receptor interaction	http://www.kegg.jp/kegg-bin/show_pathway?hsa04060+8743+83729+3606+3557+56300	0.7766771024522519	1.7966742297107838	0.003952569169960474	0.050929930410949155	9	./Project_wg_result1733328043_GSEA/hsa04060.png	5	8743;83729;3606;3557;56300	IL18;IL1RN;IL36G;INHBE;TNFSF10
